date,partner,qty
2016-01,Mexico,21843750
2016-01,USA,3901699
2016-02,Mexico,22881859
2016-02,USA,3222170
2016-03,Mexico,20563433
2016-03,USA,4964500
2016-04,Mexico,14424569
2016-04,USA,5613447
2016-05,Mexico,8563449
2016-05,USA,7482765
2016-06,Mexico,5834736
2016-06,USA,7357667
2016-07,Mexico,4855289
2016-07,USA,7449319
2016-08,Mexico,3169683
2016-08,USA,5885852
2016-09,Mexico,4712853
2016-09,USA,5728233
2016-10,Mexico,9462020
2016-10,USA,6686721
2016-11,Mexico,11646701
2016-11,USA,6906236
2016-12,Mexico,14206428
2016-12,USA,8241657
2017-01,Mexico,22559833
2017-01,USA,0
2017-02,Mexico,21992319
2017-02,USA,5047868
2017-03,Mexico,21216792
2017-03,USA,0
2017-04,Mexico,12582779
2017-04,USA,6162711
2017-05,Mexico,8584368
2017-05,USA,5493677
2017-06,Mexico,7114020
2017-06,USA,6091654
2017-07,Mexico,4940476
2017-07,USA,7454176
2017-08,Mexico,3231684
2017-08,USA,5383462
2017-09,Mexico,4003190
2017-09,USA,5677065
2017-10,Mexico,7314774
2017-10,USA,0
2017-11,Mexico,13037923
2017-11,USA,5032935
2017-12,Mexico,14678862
2017-12,USA,4907814
2018-01,Mexico,23336357
2018-01,USA,5627533
2018-02,Mexico,21007068
2018-02,USA,4565212
2018-03,Mexico,21424988
2018-03,USA,5635357
2018-04,Mexico,13784223
2018-04,USA,5900731
2018-05,Mexico,10109729
2018-05,USA,6113971
2018-06,Mexico,7720978
2018-06,USA,7096690
2018-07,Mexico,5637483
2018-07,USA,7732161
2018-08,Mexico,4790284
2018-08,USA,5545322
2018-09,Mexico,5371477
2018-09,USA,5350197
2018-10,Mexico,11238534
2018-10,USA,6587963
2018-11,Mexico,13330395
2018-11,USA,6333820
2018-12,Mexico,15759087
2018-12,USA,6655382
2019-01,Mexico,22905176
2019-01,USA,5672304
2019-02,Mexico,21891540
2019-02,USA,4383383
2019-03,Mexico,21579553
2019-03,USA,5433333
2019-04,Mexico,14177515
2019-04,USA,5517225
2019-05,Mexico,8075137
2019-05,USA,5720954
2019-06,Mexico,6421011
2019-06,USA,6282762
2019-07,Mexico,4879007
2019-07,USA,6779370
2019-08,Mexico,3873161
2019-08,USA,4809165
2019-09,Mexico,5222581
2019-09,USA,5220317
2019-10,Mexico,9320583
2019-10,USA,5393417
2019-11,Mexico,12041690
2019-11,USA,6454012
2019-12,Mexico,11932783
2019-12,USA,5863170
2020-01,Mexico,17628030
2020-01,USA,6185902
2020-02,Mexico,15780083
2020-02,USA,4467671
2020-03,Mexico,19336489
2020-03,USA,4180078
2020-04,Mexico,9805423
2020-04,USA,3137257
2020-05,Mexico,7105277
2020-05,USA,3532656
2020-06,Mexico,6632907
2020-06,USA,4337200
2020-07,Mexico,6722579
2020-07,USA,5242220
2020-08,Mexico,4939524
2020-08,USA,4494728
2020-09,Mexico,6537549
2020-09,USA,4395699
2020-10,Mexico,11372382
2020-10,USA,4257337
2020-11,Mexico,12687169
2020-11,USA,5234146
2020-12,Mexico,13907253
2020-12,USA,5024945
2021-01,Mexico,19806727
2021-01,USA,4041082
2021-02,Mexico,20978920
2021-02,USA,3789623
2021-03,Mexico,18763858
2021-03,USA,5061578
2021-04,Mexico,11921201
2021-04,USA,4946083
2021-05,Mexico,7586261
2021-05,USA,4466284
2021-06,Mexico,6249210
2021-06,USA,5431781
2021-07,Mexico,6033573
2021-07,USA,5240783
2021-08,Mexico,5438646
2021-08,USA,4107895
2021-09,Mexico,7018393
2021-09,USA,4415287
2021-10,Mexico,10735333
2021-10,USA,5628072
2021-11,Mexico,11034430
2021-11,USA,6545016
2021-12,Mexico,13374423
2021-12,USA,7596526
2022-01,Mexico,16910716
2022-01,USA,6501386
2022-02,Mexico,14699455
2022-02,USA,5605508
2022-03,Mexico,16530189
2022-03,USA,6695191
2022-04,Mexico,12288843
2022-04,USA,5493093
2022-05,Mexico,8077763
2022-05,USA,5802637
2022-06,Mexico,6800330
2022-06,USA,5580478
2022-07,Mexico,6736853
2022-07,USA,5562161
2022-08,Mexico,5780170
2022-08,USA,4469556
2022-09,Mexico,6656327
2022-09,USA,4636752
2022-10,Mexico,10675166
2022-10,USA,5677577
2022-11,Mexico,12190868
2022-11,USA,4312258
2022-12,Mexico,13853599
2022-12,USA,5865546
2023-01,Mexico,17934331
2023-01,USA,5406116
2023-02,Mexico,17180125
2023-02,USA,5038895
2023-03,Mexico,18786853
2023-03,USA,5262257
2023-04,Mexico,12876001
2023-04,USA,5643176
2023-05,Mexico,9344815
2023-05,USA,6223735
2023-06,Mexico,8095538
2023-06,USA,5716662
2023-07,Mexico,6719324
2023-07,USA,6444741
2023-08,Mexico,4725588
2023-08,USA,6328540
2023-09,Mexico,6218701
2023-09,USA,5322204
2023-10,Mexico,10228556
2023-10,USA,5010875
2023-11,Mexico,11142006
2023-11,USA,6720740
2023-12,Mexico,11131964
2023-12,USA,6219590
2024-01,Mexico,14493355
2024-01,USA,5580976
2024-02,Mexico,18591817
2024-02,USA,4701798
2024-03,Mexico,19393955
2024-03,USA,4684314
2024-04,Mexico,14137731
2024-04,USA,5307939
2024-05,Mexico,10570970
2024-05,USA,6794554
2024-06,Mexico,7904007
2024-06,USA,6720273
2024-07,Mexico,5569809
2024-07,USA,6381608
2024-08,Mexico,6026821
2024-08,USA,5072660
2024-09,Mexico,8531022
2024-09,USA,5181799
2024-10,Mexico,11050397
2024-10,USA,6100121
2024-11,Mexico,12763706
2024-11,USA,4251690
2024-12,Mexico,13600443
2024-12,USA,4691826
2025-01,Mexico,18802816
2025-01,USA,6945435
2025-02,Mexico,17386468
2025-02,USA,5461864
2025-03,Mexico,17964211
2025-03,USA,2867441
2025-04,Mexico,12894443
2025-04,USA,3329304
2025-05,Mexico,10239434
2025-05,USA,3002193
2025-06,Mexico,8400791
2025-06,USA,3549372
2025-07,Mexico,5497760
2025-07,USA,4123262
2025-08,Mexico,4162624
2025-08,USA,3451778
2025-09,Mexico,5210849
2025-09,USA,5070068
2025-10,Mexico,8733077
2025-10,USA,5436053
