Date,MEAN_C_lag_0,PRECIPITATION_MM_lag_5,import_qty_lag_0,USD_CAD_lag_0,integrated_gas_price_lag_1,MXN_CAD_lag_7,price_adjusted
2017-01-01,17.02,185.88,7304168.0,1.3193,0.922689018471385,0.06912,1.51
2017-02-01,17.759999999999998,137.67,6062682.0,1.3107,0.942185430562576,0.0701,1.57
2017-03-01,19.919999999999998,37.410000000000004,7035390.0,1.3386,0.932125205397753,0.0704,1.81
2017-04-01,21.08,31.970000000000002,5888440.0,1.344,0.941153467842554,0.06814,2.01
2017-05-01,23.619999999999997,11.289999999999997,5981296.0,1.3607,0.952622900309035,0.07015,2.13
2017-06-01,23.509999999999998,0.14,4846083.0,1.3298,0.950031021521175,0.06712,2.17
2017-07-01,21.46,1.39,5230342.0,1.2689,0.915507257198187,0.06505,1.97
2017-08-01,21.950000000000003,13.219999999999999,5354185.0,1.2605,0.87386113164834,0.06165,2.13
2017-09-01,21.1,2.71,6241156.0,1.2283,0.901508753469397,0.06462,2.12
2017-10-01,20.46,30.669999999999998,6934184.0,1.2605,0.939970951223405,0.06942,2.07
2017-11-01,18.619999999999997,113.6,7192742.0,1.2769,0.968685312757325,0.07161,1.57
2017-12-01,16.69,175.69,6624548.0,1.2771,1.02530860220752,0.07251,1.76
2018-01-01,15.84,234.19,7853869.0,1.2427,1.02849038203492,0.07333,1.48
2018-02-01,18.639999999999997,201.74,7141789.0,1.2586,1.04285085755727,0.07127,1.62
2018-03-01,20.919999999999998,52.32000000000001,8160216.0,1.2932,1.06046339317973,0.07082,1.81
2018-04-01,21.89,0.79,7727575.0,1.2733,1.06602627826312,0.06888,1.75
2018-05-01,23.31,4.180000000000001,7269038.0,1.2873,1.08473405264827,0.06697,1.7
2018-06-01,22.409999999999997,14.89,7221515.0,1.3129,1.14379372087599,0.06752,1.83
2018-07-01,21.810000000000002,16.33,7346800.0,1.313,1.16662998267186,0.06672,1.76
2018-08-01,21.419999999999998,0.98,7217851.0,1.3041,1.15789017821832,0.06573,1.94
2018-09-01,21.37,9.23,7246886.0,1.3037,1.14576924386309,0.06749,1.96
2018-10-01,20.759999999999998,76.56,7542001.0,1.301,1.16070248746076,0.06946,1.87
2018-11-01,18.05,237.16,7683651.0,1.32,1.19452574869114,0.06927,1.81
2018-12-01,16.54,123.98,7883427.0,1.3432,1.18636367250296,0.06593,1.83
2019-01-01,16.990000000000002,214.26999999999998,8533149.0,1.3301,1.13718125570981,0.06469,1.76
2019-02-01,19.319999999999997,170.87,8642527.0,1.3206,1.07887898325413,0.06927,1.71
2019-03-01,20.939999999999998,144.39999999999998,8643698.0,1.3368,1.08153470400362,0.06912,1.7
2019-04-01,21.33,92.26,7142986.0,1.3378,1.12133776377009,0.0686,1.95
2019-05-01,23.449999999999996,4.18,7332632.0,1.3459,1.14189881733224,0.0678,2.26
2019-06-01,23.32,7.76,5895307.0,1.3287,1.16143079992734,0.06521,2.24
2019-07-01,22.069999999999997,1.5,5705382.0,1.3101,1.11660496802196,0.06681,2.2
2019-08-01,21.79,1.18,6285274.0,1.3277,1.0897623891856,0.06939,2.23
2019-09-01,21.229999999999997,1.73,7256363.0,1.3241,1.08674702959366,0.06881,2.16
2019-10-01,20.839999999999996,18.11,7332507.0,1.319,1.09004481559772,0.0695,1.92
2019-11-01,20.060000000000002,111.74000000000001,8427280.0,1.3239,1.10549625408515,0.07051,1.77
2019-12-01,17.7,187.59,7852738.0,1.3172,1.11838150269526,0.07043,1.62
2020-01-01,17.13,156.33999999999997,9177692.0,1.3087,1.11129161680676,0.06894,1.66
2020-02-01,18.949999999999996,197.83999999999997,7714833.0,1.3286,1.10283236597108,0.06878,1.73
2020-03-01,21.299999999999997,129.22,9500597.0,1.3953,1.06346770621008,0.06742,1.99
2020-04-01,22.64,33.96,7192417.0,1.4058,1.02540864679046,0.06772,1.98
2020-05-01,22.479999999999997,2.86,9434396.0,1.397,0.936819743451521,0.06824,2.08
2020-06-01,22.689999999999998,15.5,8434269.0,1.355,0.888693621997897,0.06846,2.04
2020-07-01,21.759999999999998,32.78,7678595.0,1.3499,0.881890648196162,0.0689,2.02
2020-08-01,21.27,8.14,6758550.0,1.3222,0.895983245143855,0.0696,1.78
2020-09-01,20.799999999999997,6.779999999999999,7656271.0,1.3228,0.880831438043,0.07049,1.79
2020-10-01,19.979999999999997,12.72,9287201.0,1.3215,0.873251960553811,0.06263,1.57
2020-11-01,19.02,92.65,8792853.0,1.3068,0.868983140407357,0.05803,1.61
2020-12-01,17.32,169.41,8043213.0,1.2808,0.87901336369345,0.05958,1.61
2021-01-01,16.990000000000002,210.02999999999997,10697266.0,1.2724,0.916476071361918,0.06079,1.54
2021-02-01,17.85,165.86,9916471.0,1.2699,0.946607955653883,0.06031,1.41
2021-03-01,20.56,21.96,9453257.0,1.2574,0.999683355365811,0.05961,1.57
2021-04-01,21.51,2.4,9022715.0,1.2496,1.08584717083253,0.06111,1.74
2021-05-01,22.1,4.59,9212890.0,1.2126,1.07711196577199,0.06212,1.7
2021-06-01,21.38,0.77,8330837.0,1.2219,1.08035579998561,0.06403,1.79
2021-07-01,21.18,0.11,7142006.0,1.2529,1.10960203353526,0.06418,1.78
2021-08-01,21.04,1.62,6254179.0,1.2603,1.14935259713106,0.06388,1.84
2021-09-01,20.84,3.67,7500146.0,1.2671,1.15848076595013,0.06248,1.87
2021-10-01,20.7,29.84,9298437.0,1.2437,1.17651741253609,0.06057,1.76
2021-11-01,18.2,223.39000000000001,8320731.0,1.257,1.24105137393618,0.06236,1.65
2021-12-01,17.53,187.17999999999998,8277042.0,1.2794,1.28549505819325,0.06071,1.67
2022-01-01,17.19,244.1,8665961.0,1.2616,1.27525009960068,0.06103,1.71
2022-02-01,18.08,196.23000000000002,7943381.0,1.2716,1.29788310949921,0.06274,1.79
2022-03-01,19.54,106.54999999999998,8445514.0,1.2658,1.40830081577922,0.06274,1.9
2022-04-01,21.979999999999997,1.99,6931244.0,1.2628,1.74902172433882,0.06328,2.14
2022-05-01,23.459999999999997,1.08,7990404.0,1.2852,1.76712942279778,0.06084,2.15
2022-06-01,22.229999999999997,3.92,5719993.0,1.2814,1.95782871225232,0.06016,2.15
2022-07-01,21.549999999999997,1.74,6196608.0,1.2942,2.00181851418069,0.0612,1.99
2022-08-01,21.209999999999997,0.78,6383921.0,1.2922,1.91081163846266,0.06155,1.94
2022-09-01,20.94,7.5600000000000005,7318996.0,1.3319,1.75112097298653,0.06213,1.59
2022-10-01,20.409999999999997,12.69,7880818.0,1.37,1.79476273602813,0.06163,1.69
2022-11-01,19.809999999999995,157.78,8127552.0,1.3449,1.9421902242309,0.06287,1.6
2022-12-01,17.16,203.43,9107195.0,1.3592,1.95046587422265,0.06414,1.59
2023-01-01,16.95,186.93,9385266.0,1.3422,1.77696830552351,0.06404,1.48
2023-02-01,18.59,139.49,8009837.0,1.345,1.69724032547877,0.06298,1.35
2023-03-01,20.490000000000002,64.47,9721765.0,1.3682,1.62859199452635,0.06424,1.47
2023-04-01,21.639999999999997,8.37,9188375.0,1.3485,1.56957326764045,0.06635,1.74
2023-05-01,23.58,2.17,9600053.0,1.352,1.50661674189617,0.06854,1.61
2023-06-01,24.919999999999998,0.41,9018337.0,1.3288,1.43623933741267,0.06914,1.61
2023-07-01,22.58,0.25,7578219.0,1.3215,1.38156948478811,0.06927,1.67
2023-08-01,21.959999999999997,5.34,7058267.0,1.3485,1.41144651633819,0.07081,1.78
2023-09-01,21.73,2.87,8242230.0,1.3535,1.6136134517094,0.0722,1.73
2023-10-01,20.57,20.72,8568906.0,1.3717,1.69180269443189,0.07437,1.88
2023-11-01,19.62,44.39,9557034.0,1.3709,1.69068433031654,0.07455,1.67
2023-12-01,16.95,169.83,8635425.0,1.3431,1.61504596418727,0.07623,1.63
2024-01-01,17.09,165.74,9540654.0,1.3425,1.48797255794966,0.07708,1.53
2024-02-01,18.540000000000003,88.77999999999999,9580227.0,1.3501,1.44326041776188,0.0782,1.46
2024-03-01,20.13,147.17,9674998.0,1.3539,1.51433331908876,0.07945,1.66
2024-04-01,22.27,32.87,9357584.0,1.3674,1.50687436002348,0.0782,1.61
2024-05-01,24.900000000000002,26.819999999999997,8602551.0,1.367,1.51595793611291,0.07582,1.7
2024-06-01,24.0,0.53,8189314.0,1.3707,1.45046492080973,0.07895,1.73
2024-07-01,21.66,19.429999999999996,5987954.0,1.3712,1.42221487988635,0.07807,1.92
2024-08-01,21.58,0.010000000000000002,6702367.0,1.3652,1.45422702186118,0.07857,1.85
2024-09-01,21.58,1.34,9198952.0,1.3546,1.40915294742337,0.07897,1.65
2024-10-01,19.849999999999998,8.100000000000001,9320804.0,1.3755,1.348271613876,0.08066,1.73
2024-11-01,19.44,111.0,8369909.0,1.3975,1.37888297881168,0.0814,1.55
2024-12-01,17.56,275.12,9372492.0,1.424,1.38301507161319,0.08131,1.62
2025-01-01,17.2,234.19999999999996,9094502.0,1.439,1.39306633978727,0.07524,1.68
2025-02-01,19.0,285.65999999999997,8162032.0,1.4301,1.46544806398312,0.07578,1.57
2025-03-01,20.319999999999997,38.73,8303320.0,1.4359,1.47435739138988,0.07135,1.77
2025-04-01,21.279999999999998,8.610000000000001,8901262.0,1.3988,1.44112713826787,0.06914,1.78
2025-05-01,23.470000000000002,4.6,8948663.0,1.386,1.35565027395432,0.06975,1.86
2025-06-01,21.7,17.46,7223827.0,1.3674,1.31791823454667,0.06874,1.76
2025-07-01,20.93,4.35,7403208.0,1.3691,1.33763887181698,0.07027,1.55
2025-08-01,20.97,0.34,7071554.0,1.3802,1.4035076675042,0.07003,1.56
2025-09-01,20.98,0.6,8372287.0,1.3833,1.39668118539339,0.06984,1.62
2025-10-01,20.65,49.03999999999999,8932352.0,1.3992,1.40192695915914,0.07097,1.43
2025-11-01,18.85,243.9,8369909.0,1.4055,1.3994706326473,0.06982,1.37
2025-12-01,17.97,170.38,9372492.0,1.3802,1.46477440016211,0.07128,1.62
