model_name,feature,importance
model_1_target_lags_only,lag1,0.45461783
model_1_target_lags_only,lag2,0.17076528
model_1_target_lags_only,month,0.11225779
model_1_target_lags_only,lag3,0.090730585
model_1_target_lags_only,lag12,0.087234505
model_1_target_lags_only,lag6,0.08439403
model_2_target_lags_plus_external,lag1,0.34293792
model_2_target_lags_plus_external,mexico_weather_adjusted_state_michoacán_mean_c,0.22002307
model_2_target_lags_plus_external,avocado_import_qty,0.08855213
model_2_target_lags_plus_external,lag2,0.072825246
model_2_target_lags_plus_external,xrate_adjusted_mxn_cad,0.06322021
model_2_target_lags_plus_external,lag6,0.035933115
model_2_target_lags_plus_external,mexico_weather_adjusted_state_michoacán_precipitation_mm,0.034077816
model_2_target_lags_plus_external,lag12,0.031255487
model_2_target_lags_plus_external,xrate_adjusted_usd_cad,0.030674547
model_2_target_lags_plus_external,lag3,0.029876763
model_2_target_lags_plus_external,gas_price_integrated_gas_price,0.02785141
model_2_target_lags_plus_external,month,0.022772307
model_3_selective_features_plus_target_lags,lag1,0.31622863
model_3_selective_features_plus_target_lags,MEAN_C_lag_6,0.19251518
model_3_selective_features_plus_target_lags,integrated_gas_price_lag_3,0.13493086
model_3_selective_features_plus_target_lags,lag2,0.07800395
model_3_selective_features_plus_target_lags,PRECIPITATION_MM_lag_2,0.057750728
model_3_selective_features_plus_target_lags,lag12,0.05524239
model_3_selective_features_plus_target_lags,USD_CAD_lag_2,0.039907627
model_3_selective_features_plus_target_lags,MXN_CAD_lag_3,0.039332803
model_3_selective_features_plus_target_lags,lag6,0.03875999
model_3_selective_features_plus_target_lags,import_qty_lag_2,0.02759808
model_3_selective_features_plus_target_lags,lag3,0.019729752
model_4_core_lags_mean_temp_gas,lag1,0.5129308
model_4_core_lags_mean_temp_gas,integrated_gas_price_lag_3,0.170225
model_4_core_lags_mean_temp_gas,MEAN_C_lag_6,0.12793027
model_4_core_lags_mean_temp_gas,lag12,0.10857805
model_4_core_lags_mean_temp_gas,lag2,0.08033588
